year,hbr_name,age,sex,diagnosis,incidence,crude_rate,easr,fyear
2013,Borders,65-74,Female,Cerebrovascular Disease,26,361.362056984017,371.325343991927,2012/13
2013,Borders,over 75,Male,Cerebrovascular Disease,80,1735.3579175705,1784.72690208521,2012/13
2013,Borders,over 75,Female,Cerebrovascular Disease,85,1314.97524752475,1282.0424546122,2012/13
2013,Dumfries and Galloway,0-44,Male,Cerebrovascular Disease,2,5.64907920009039,6.36259243335477,2012/13
2013,Dumfries and Galloway,0-44,Female,Cerebrovascular Disease,7,19.5683775019568,21.0809986467627,2012/13
2013,Dumfries and Galloway,45-64,Male,Cerebrovascular Disease,30,135.226504394861,132.975109290331,2012/13
2013,Dumfries and Galloway,45-64,Female,Cerebrovascular Disease,21,90.7754819745829,90.6264288988957,2012/13
2013,Dumfries and Galloway,65-74,Male,Cerebrovascular Disease,47,517.051705170517,521.138912847831,2012/13
2013,Dumfries and Galloway,65-74,Female,Cerebrovascular Disease,41,419.480253734397,431.383403883954,2012/13
2013,Dumfries and Galloway,over 75,Male,Cerebrovascular Disease,105,1607.22485841114,1786.28084536702,2012/13
2013,Dumfries and Galloway,over 75,Female,Cerebrovascular Disease,153,1709.87930263746,1672.6324566695,2012/13
2013,Forth Valley,0-44,Male,Cerebrovascular Disease,11,13.427734375,13.176498358498,2012/13
2013,Forth Valley,0-44,Female,Cerebrovascular Disease,14,16.9335720160627,16.6980464863484,2012/13
2013,Forth Valley,45-64,Male,Cerebrovascular Disease,97,237.844199789128,243.376568427093,2012/13
2013,Forth Valley,45-64,Female,Cerebrovascular Disease,74,175.110627321991,176.79096355641,2012/13
2013,Forth Valley,65-74,Male,Cerebrovascular Disease,100,730.994152046784,746.353834278074,2012/13
2013,Forth Valley,65-74,Female,Cerebrovascular Disease,87,566.185083951581,581.099187132072,2012/13
2013,Forth Valley,over 75,Male,Cerebrovascular Disease,155,1726.63473320708,1877.4103823813,2012/13
2013,Forth Valley,over 75,Female,Cerebrovascular Disease,232,1727.60443815623,1712.17103131476,2012/13
2013,Grampian,0-44,Male,Cerebrovascular Disease,19,11.5649156978514,12.025693613424,2012/13
2013,Grampian,0-44,Female,Cerebrovascular Disease,16,10.0211069565272,9.77955858124343,2012/13
2013,Grampian,45-64,Male,Cerebrovascular Disease,116,149.488388876002,150.54783244649,2012/13
2013,Grampian,45-64,Female,Cerebrovascular Disease,94,120.790018118503,121.96430711536,2012/13
2013,Grampian,65-74,Male,Cerebrovascular Disease,131,531.936492467617,548.925758255064,2012/13
2013,Grampian,65-74,Female,Cerebrovascular Disease,100,372.703216428758,386.202808430511,2012/13
2013,Grampian,over 75,Male,Cerebrovascular Disease,241,1408.28609828785,1504.13464819645,2012/13
2013,Grampian,over 75,Female,Cerebrovascular Disease,408,1602.70259653533,1561.92339039374,2012/13
2013,Highland,0-44,Male,Cerebrovascular Disease,12,15.0440037108542,16.6658618321841,2012/13
2013,Highland,0-44,Female,Cerebrovascular Disease,16,20.3055992689984,20.0768029963584,2012/13
2013,Highland,45-64,Male,Cerebrovascular Disease,85,180.363698092389,175.909529642226,2012/13
2013,Highland,45-64,Female,Cerebrovascular Disease,64,130.911471117657,130.314066363502,2012/13
2013,Highland,65-74,Male,Cerebrovascular Disease,76,427.542754275428,439.573972797997,2012/13
2013,Highland,65-74,Female,Cerebrovascular Disease,86,455.219140376879,459.90721458762,2012/13
2013,Highland,over 75,Male,Cerebrovascular Disease,174,1506.88490517017,1603.39150912546,2012/13
2013,Highland,over 75,Female,Cerebrovascular Disease,265,1558.09031044214,1513.98895140406,2012/13
2013,Lothian,0-44,Male,Cerebrovascular Disease,36,14.4685229245708,14.8840495448241,2012/13
2013,Lothian,0-44,Female,Cerebrovascular Disease,41,16.3530993111755,16.8209496131346,2012/13
2013,Lothian,45-64,Male,Cerebrovascular Disease,223,210.992421303611,217.454645544025,2012/13
2013,Lothian,45-64,Female,Cerebrovascular Disease,128,117.282706298448,119.452666901101,2012/13
2013,Lothian,65-74,Male,Cerebrovascular Disease,170,521.632402577478,534.728148032467,2012/13
2013,Lothian,65-74,Female,Cerebrovascular Disease,146,392.32546890955,395.48772948777,2012/13
2013,Lothian,over 75,Male,Cerebrovascular Disease,363,1561.15602958885,1673.70672637703,2012/13
2013,Lothian,over 75,Female,Cerebrovascular Disease,584,1607.84097791972,1548.10505712757,2012/13
2013,Orkney,0-44,Male,Cerebrovascular Disease,0,0,0,2012/13
2013,Orkney,0-44,Female,Cerebrovascular Disease,0,0,0,2012/13
2013,Orkney,45-64,Male,Cerebrovascular Disease,7,212.378640776699,213.271787339875,2012/13
2013,Orkney,45-64,Female,Cerebrovascular Disease,1,31.4366551398931,29.3664194993025,2012/13
2013,Orkney,65-74,Male,Cerebrovascular Disease,8,618.716163959783,642.143189214319,2012/13
2013,Orkney,65-74,Female,Cerebrovascular Disease,5,382.262996941896,392.29804692144,2012/13
2013,Orkney,over 75,Male,Cerebrovascular Disease,14,1767.67676767677,1717.43205303868,2012/13
2013,Orkney,over 75,Female,Cerebrovascular Disease,21,1986.75496688742,1879.92467714483,2012/13
2013,Shetland,0-44,Male,Cerebrovascular Disease,2,30.8071472581639,33.6042407695692,2012/13
2013,Shetland,0-44,Female,Cerebrovascular Disease,2,32.7225130890052,36.4534325966764,2012/13
2013,Shetland,45-64,Male,Cerebrovascular Disease,3,87.7963125548727,83.113578073516,2012/13
2013,Shetland,45-64,Female,Cerebrovascular Disease,1,31.210986267166,30.9310238168883,2012/13
2013,Shetland,65-74,Male,Cerebrovascular Disease,7,603.968938740293,651.942588794007,2012/13
2013,Shetland,65-74,Female,Cerebrovascular Disease,4,349.344978165939,340.430366141438,2012/13
2013,Shetland,over 75,Male,Cerebrovascular Disease,14,1994.30199430199,2249.28995222292,2012/13
2013,Shetland,over 75,Female,Cerebrovascular Disease,12,1225.74055158325,1135.50796516518,2012/13
2013,Western Isles,0-44,Male,Cerebrovascular Disease,0,0,0,2012/13
2013,Western Isles,0-44,Female,Cerebrovascular Disease,0,0,0,2012/13
2013,Western Isles,45-64,Male,Cerebrovascular Disease,6,143.129770992366,140.089572339303,2012/13
2013,Western Isles,45-64,Female,Cerebrovascular Disease,2,49.6894409937888,48.2517111368317,2012/13
2013,Western Isles,65-74,Male,Cerebrovascular Disease,14,854.700854700855,877.994737570973,2012/13
2013,Western Isles,65-74,Female,Cerebrovascular Disease,8,468.384074941452,482.743979545685,2012/13
2013,Western Isles,over 75,Male,Cerebrovascular Disease,16,1492.53731343284,1481.83508459054,2012/13
2013,Western Isles,over 75,Female,Cerebrovascular Disease,27,1535.8361774744,1462.0805925316,2012/13
2013,Fife,0-44,Male,Cerebrovascular Disease,19,19.4200558071077,20.1919337087832,2012/13
2013,Fife,0-44,Female,Cerebrovascular Disease,14,14.108778683651,14.4908466174477,2012/13
2013,Fife,45-64,Male,Cerebrovascular Disease,101,202.856052541726,205.16987113366,2012/13
2013,Fife,45-64,Female,Cerebrovascular Disease,76,145.588291636336,145.58267308408,2012/13
2013,Fife,65-74,Male,Cerebrovascular Disease,114,636.125216226773,652.694813159295,2012/13
2013,Fife,65-74,Female,Cerebrovascular Disease,90,459.230533727931,459.572476756361,2012/13
2013,Fife,over 75,Male,Cerebrovascular Disease,192,1613.30980589866,1668.73310122153,2012/13
2013,Fife,over 75,Female,Cerebrovascular Disease,313,1765.07077200699,1718.75251721027,2012/13
2013,Tayside,0-44,Male,Cerebrovascular Disease,19,17.37412900748,19.9788443735536,2012/13
2013,Tayside,0-44,Female,Cerebrovascular Disease,22,20.1201723018392,21.7126034746067,2012/13
2013,Tayside,45-64,Male,Cerebrovascular Disease,118,214.078374455733,214.874590171153,2012/13
2013,Tayside,45-64,Female,Cerebrovascular Disease,90,156.372165754496,155.073590460875,2012/13
2013,Tayside,65-74,Male,Cerebrovascular Disease,92,458.030468983371,462.879131971542,2012/13
2013,Tayside,65-74,Female,Cerebrovascular Disease,105,466.708151835719,475.55770554168,2012/13
2013,Tayside,over 75,Male,Cerebrovascular Disease,230,1529.86563788746,1662.06997722279,2012/13
2013,Tayside,over 75,Female,Cerebrovascular Disease,365,1604.67774553768,1539.63679532186,2012/13
2013,Greater Glasgow and Clyde,0-44,Male,Cerebrovascular Disease,63,19.3494886206579,20.8671218401041,2012/13
2013,Greater Glasgow and Clyde,0-44,Female,Cerebrovascular Disease,64,19.4851060720462,20.0241352684652,2012/13
2013,Greater Glasgow and Clyde,45-64,Male,Cerebrovascular Disease,387,266.510570897321,273.298083540478,2012/13
2013,Greater Glasgow and Clyde,45-64,Female,Cerebrovascular Disease,287,184.307530279094,188.800904548232,2012/13
2013,Greater Glasgow and Clyde,65-74,Male,Cerebrovascular Disease,300,672.766415500538,689.285105809367,2012/13
2013,Greater Glasgow and Clyde,65-74,Female,Cerebrovascular Disease,269,515.325670498084,517.438858553986,2012/13
2013,Greater Glasgow and Clyde,over 75,Male,Cerebrovascular Disease,565,1787.86152775141,1926.08030767922,2012/13
2013,Greater Glasgow and Clyde,over 75,Female,Cerebrovascular Disease,921,1707.07295373665,1687.66831785318,2012/13
2013,Lanarkshire,0-44,Male,Cerebrovascular Disease,37,20.5265902559721,20.741002129839,2012/13
2013,Lanarkshire,0-44,Female,Cerebrovascular Disease,38,20.8697180391252,20.1316328960967,2012/13
2013,Lanarkshire,45-64,Male,Cerebrovascular Disease,209,236.596631045101,242.488023099195,2012/13
2013,Lanarkshire,45-64,Female,Cerebrovascular Disease,148,157.067507190084,159.463820775477,2012/13
2013,Lanarkshire,65-74,Male,Cerebrovascular Disease,200,711.18697105469,727.551467111311,2012/13
2013,Lanarkshire,65-74,Female,Cerebrovascular Disease,149,457.434071163233,461.517923639391,2012/13
2013,Lanarkshire,over 75,Male,Cerebrovascular Disease,282,1580.09749537737,1677.71586802984,2012/13
2013,Lanarkshire,over 75,Female,Cerebrovascular Disease,475,1650.50905173912,1677.41945051328,2012/13
2014,Scotland,0-44,Male,Cerebrovascular Disease,227,15.5785367567683,16.4104344344464,2013/14
2014,Scotland,0-44,Female,Cerebrovascular Disease,225,15.4142845887983,15.5389113521681,2013/14
2014,Scotland,45-64,Male,Cerebrovascular Disease,1514,211.961695693566,215.305883237895,2013/14
2014,Scotland,45-64,Female,Cerebrovascular Disease,1102,146.991345917856,149.057994714472,2013/14
2014,Scotland,65-74,Male,Cerebrovascular Disease,1549,627.145818488048,639.655274056388,2013/14
2014,Scotland,65-74,Female,Cerebrovascular Disease,1182,429.334205077912,439.026594454389,2013/14
2014,Scotland,over 75,Male,Cerebrovascular Disease,2661,1581.34006834051,1695.58925016008,2013/14
2014,Scotland,over 75,Female,Cerebrovascular Disease,4135,1613.21155894367,1585.5495674702,2013/14
2014,Ayrshire and Arran,0-44,Male,Cerebrovascular Disease,20,21.5957067734934,22.9281701204087,2013/14
2014,Ayrshire and Arran,0-44,Female,Cerebrovascular Disease,16,16.8305895965918,16.917324109111,2013/14
2014,Ayrshire and Arran,45-64,Male,Cerebrovascular Disease,116,223.851794673871,223.296405912496,2013/14
2014,Ayrshire and Arran,45-64,Female,Cerebrovascular Disease,95,168.744893246652,168.884156063772,2013/14
2014,Ayrshire and Arran,65-74,Male,Cerebrovascular Disease,121,594.536163522013,609.972463913249,2013/14
2014,Ayrshire and Arran,65-74,Female,Cerebrovascular Disease,110,485.286981073808,497.398399788579,2013/14
2014,Ayrshire and Arran,over 75,Male,Cerebrovascular Disease,227,1686.72908307326,1811.0439761696,2013/14
2014,Ayrshire and Arran,over 75,Female,Cerebrovascular Disease,292,1462.2665130953,1443.65632974528,2013/14
2014,Borders,0-44,Male,Cerebrovascular Disease,6,22.6946062485816,21.3824430991244,2013/14
2014,Borders,0-44,Female,Cerebrovascular Disease,1,3.711539175296,3.08641975308642,2013/14
2014,Borders,45-64,Male,Cerebrovascular Disease,37,215.919701213819,215.745940250387,2013/14
2014,Borders,45-64,Female,Cerebrovascular Disease,27,152.974504249292,151.564259598136,2013/14
2014,Borders,65-74,Male,Cerebrovascular Disease,29,415.234822451317,418.205009096011,2013/14
2014,Borders,65-74,Female,Cerebrovascular Disease,32,429.530201342282,450.014732147221,2013/14
2014,Borders,over 75,Male,Cerebrovascular Disease,83,1746.26551651588,1939.56973818176,2013/14
2014,Borders,over 75,Female,Cerebrovascular Disease,95,1455.71559914189,1437.51480974682,2013/14
2014,Dumfries and Galloway,0-44,Male,Cerebrovascular Disease,5,14.3278791873227,15.21521630482,2013/14
2014,Dumfries and Galloway,0-44,Female,Cerebrovascular Disease,7,19.9050245969233,20.9970769190357,2013/14
2014,Dumfries and Galloway,45-64,Male,Cerebrovascular Disease,52,236.04176123468,230.364838985468,2013/14
2014,Dumfries and Galloway,45-64,Female,Cerebrovascular Disease,24,103.71650821089,103.152411821205,2013/14
2014,Dumfries and Galloway,65-74,Male,Cerebrovascular Disease,52,555.555555555556,573.895161286151,2013/14
2014,Dumfries and Galloway,65-74,Female,Cerebrovascular Disease,38,378.561466427575,387.327743280815,2013/14
2014,Dumfries and Galloway,over 75,Male,Cerebrovascular Disease,96,1434.33437920215,1516.63306106863,2013/14
2014,Dumfries and Galloway,over 75,Female,Cerebrovascular Disease,155,1730.87660524846,1670.4403448359,2013/14
2014,Forth Valley,0-44,Male,Cerebrovascular Disease,13,15.9872102318145,18.0001099615981,2013/14
2014,Forth Valley,0-44,Female,Cerebrovascular Disease,10,12.2218012490681,12.3474769817255,2013/14
2014,Forth Valley,45-64,Male,Cerebrovascular Disease,85,206.938527084601,210.428535636305,2013/14
2014,Forth Valley,45-64,Female,Cerebrovascular Disease,68,159.381225829134,161.823726696093,2013/14
2014,Forth Valley,65-74,Male,Cerebrovascular Disease,71,500.775849908309,512.049969672168,2013/14
2014,Forth Valley,65-74,Female,Cerebrovascular Disease,67,423.94330549228,434.392184684382,2013/14
2014,Forth Valley,over 75,Male,Cerebrovascular Disease,140,1517.94426976038,1678.39734903778,2013/14
2014,Forth Valley,over 75,Female,Cerebrovascular Disease,251,1847.08219883729,1827.14300907161,2013/14
2014,Grampian,0-44,Male,Cerebrovascular Disease,19,11.4399942197924,11.8820335025971,2013/14
2014,Grampian,0-44,Female,Cerebrovascular Disease,19,11.829530243128,12.1078803511724,2013/14
2014,Grampian,45-64,Male,Cerebrovascular Disease,110,141.355470456707,143.235441692198,2013/14
2014,Grampian,45-64,Female,Cerebrovascular Disease,74,94.7478937799288,95.5404754733302,2013/14
2014,Grampian,65-74,Male,Cerebrovascular Disease,141,549.471961342114,558.354396225043,2013/14
2014,Grampian,65-74,Female,Cerebrovascular Disease,73,264.10998552822,270.317702806721,2013/14
2014,Grampian,over 75,Male,Cerebrovascular Disease,274,1554.87458858245,1689.94357130508,2013/14
2014,Grampian,over 75,Female,Cerebrovascular Disease,389,1516.09634422013,1474.34674702609,2013/14
2014,Highland,0-44,Male,Cerebrovascular Disease,17,21.2396456727345,22.4162835248134,2013/14
2014,Highland,0-44,Female,Cerebrovascular Disease,15,19.2732692604204,19.3544547624385,2013/14
2014,Highland,45-64,Male,Cerebrovascular Disease,93,197.427079352949,195.311862510217,2013/14
2014,Highland,45-64,Female,Cerebrovascular Disease,71,145.414328431573,144.335265294324,2013/14
2014,Highland,65-74,Male,Cerebrovascular Disease,96,521.569053569488,531.844403282576,2013/14
2014,Highland,65-74,Female,Cerebrovascular Disease,67,341.331703092363,348.322438122817,2013/14
2014,Highland,over 75,Male,Cerebrovascular Disease,204,1709.68823332216,1828.26539421087,2013/14
2014,Highland,over 75,Female,Cerebrovascular Disease,286,1661.43836412223,1615.16468030767,2013/14
2014,Lothian,0-44,Male,Cerebrovascular Disease,33,13.2742828870359,14.1405622493874,2013/14
2014,Lothian,0-44,Female,Cerebrovascular Disease,33,13.1186121303433,13.1754350558159,2013/14
2014,Lothian,45-64,Male,Cerebrovascular Disease,168,157.524613220816,163.093516749859,2013/14
2014,Lothian,45-64,Female,Cerebrovascular Disease,149,135.175592187032,137.973217060173,2013/14
2014,Lothian,65-74,Male,Cerebrovascular Disease,212,626.070521528557,641.508714921034,2013/14
2014,Lothian,65-74,Female,Cerebrovascular Disease,141,368.19428123776,380.170876793143,2013/14
2014,Lothian,over 75,Male,Cerebrovascular Disease,354,1485.21082441787,1575.02070382446,2013/14
2014,Lothian,over 75,Female,Cerebrovascular Disease,575,1566.80018529115,1518.54179734843,2013/14
2014,Orkney,0-44,Male,Cerebrovascular Disease,1,18.9717321191425,18.8415159345392,2013/14
2014,Orkney,0-44,Female,Cerebrovascular Disease,0,0,0,2013/14
2014,Orkney,45-64,Male,Cerebrovascular Disease,8,240.384615384615,240.010142059991,2013/14
2014,Orkney,45-64,Female,Cerebrovascular Disease,3,93.8673341677096,93.7418092753373,2013/14
2014,Orkney,65-74,Male,Cerebrovascular Disease,9,690.71373752878,706.209696387953,2013/14
2014,Orkney,65-74,Female,Cerebrovascular Disease,8,594.795539033457,599.206349206349,2013/14
2014,Orkney,over 75,Male,Cerebrovascular Disease,13,1583.43483556638,1669.81313159349,2013/14
2014,Orkney,over 75,Female,Cerebrovascular Disease,20,1833.18056828598,1814.90384615385,2013/14
2014,Shetland,0-44,Male,Cerebrovascular Disease,0,0,0,2013/14
2014,Shetland,0-44,Female,Cerebrovascular Disease,2,33.0633162506199,33.0123628937262,2013/14
2014,Shetland,45-64,Male,Cerebrovascular Disease,1,29.5683027794205,29.9490865528601,2013/14
2014,Shetland,45-64,Female,Cerebrovascular Disease,4,124.494242141301,125.850868835743,2013/14
2014,Shetland,65-74,Male,Cerebrovascular Disease,8,649.350649350649,678.013294937904,2013/14
2014,Shetland,65-74,Female,Cerebrovascular Disease,4,344.827586206897,351.432085749429,2013/14
2014,Shetland,over 75,Male,Cerebrovascular Disease,11,1553.67231638418,1607.30777449628,2013/14
2014,Shetland,over 75,Female,Cerebrovascular Disease,12,1191.65839126117,1133.75749875152,2013/14
2014,Western Isles,0-44,Male,Cerebrovascular Disease,1,15.2230172020094,13.2545633568128,2013/14
2014,Western Isles,0-44,Female,Cerebrovascular Disease,0,0,0,2013/14
2014,Western Isles,45-64,Male,Cerebrovascular Disease,5,120.481927710843,117.482144258813,2013/14
2014,Western Isles,45-64,Female,Cerebrovascular Disease,4,98.6436498150431,101.304493328677,2013/14
2014,Western Isles,65-74,Male,Cerebrovascular Disease,12,706.713780918728,705.922892999774,2013/14
2014,Western Isles,65-74,Female,Cerebrovascular Disease,6,348.634514816967,349.119429004048,2013/14
2014,Western Isles,over 75,Male,Cerebrovascular Disease,15,1361.16152450091,1487.89952094988,2013/14
2014,Western Isles,over 75,Female,Cerebrovascular Disease,23,1315.03716409377,1275.9195114951399,2013/14
2014,Fife,0-44,Male,Cerebrovascular Disease,18,18.5110912288279,19.1231374096687,2013/14
2014,Fife,0-44,Female,Cerebrovascular Disease,16,16.2677674522643,16.6779058026985,2013/14
2014,Fife,45-64,Male,Cerebrovascular Disease,106,212.412079434102,215.2058582985,2013/14
2014,Fife,45-64,Female,Cerebrovascular Disease,65,124.076583885315,125.317388186332,2013/14
2014,Fife,65-74,Male,Cerebrovascular Disease,113,606.093113065866,622.755614370659,2013/14
2014,Fife,65-74,Female,Cerebrovascular Disease,84,412.371134020619,421.938223505591,2013/14
2014,Fife,over 75,Male,Cerebrovascular Disease,210,1723.43044727124,1821.95388615746,2013/14
2014,Fife,over 75,Female,Cerebrovascular Disease,316,1773.48748456617,1757.86204190597,2013/14
2014,Tayside,0-44,Male,Cerebrovascular Disease,11,10.1041647529991,11.5612392851089,2013/14
2014,Tayside,0-44,Female,Cerebrovascular Disease,15,13.8150805419196,14.6793968490032,2013/14
2014,Tayside,45-64,Male,Cerebrovascular Disease,119,216.501409988174,217.166185290016,2013/14
2014,Tayside,45-64,Female,Cerebrovascular Disease,72,125,124.995718706436,2013/14
2014,Tayside,65-74,Male,Cerebrovascular Disease,112,537.892613581789,542.07744539584,2013/14
2014,Tayside,65-74,Female,Cerebrovascular Disease,98,424.27915836869,430.357411094248,2013/14
2014,Tayside,over 75,Male,Cerebrovascular Disease,234,1524.92668621701,1615.52870168849,2013/14
2014,Tayside,over 75,Female,Cerebrovascular Disease,377,1647.22331454538,1591.56650612088,2013/14
2014,Greater Glasgow and Clyde,0-44,Male,Cerebrovascular Disease,52,16.0412135795043,16.987802311846,2013/14
2014,Greater Glasgow and Clyde,0-44,Female,Cerebrovascular Disease,60,18.3983049028416,18.5718397198667,2013/14
2014,Greater Glasgow and Clyde,45-64,Male,Cerebrovascular Disease,383,262.41504056128,270.281832044928,2013/14
2014,Greater Glasgow and Clyde,45-64,Female,Cerebrovascular Disease,285,181.268882175227,186.236964201741,2013/14
2014,Greater Glasgow and Clyde,65-74,Male,Cerebrovascular Disease,362,794.748512590836,809.938998159396,2013/14
2014,Greater Glasgow and Clyde,65-74,Female,Cerebrovascular Disease,291,551.2929809605,560.717913821421,2013/14
2014,Greater Glasgow and Clyde,over 75,Male,Cerebrovascular Disease,491,1525.88725215986,1632.29792365273,2013/14
2014,Greater Glasgow and Clyde,over 75,Female,Cerebrovascular Disease,911,1688.63185601216,1666.82548018917,2013/14
2014,Lanarkshire,0-44,Male,Cerebrovascular Disease,31,17.3582919440727,17.474608570093,2013/14
2014,Lanarkshire,0-44,Female,Cerebrovascular Disease,31,17.2186828263079,17.2591684170149,2013/14
2014,Lanarkshire,45-64,Male,Cerebrovascular Disease,231,259.652672399258,265.011835043315,2013/14
2014,Lanarkshire,45-64,Female,Cerebrovascular Disease,161,169.259882253995,173.238610104122,2013/14
2014,Lanarkshire,65-74,Male,Cerebrovascular Disease,211,729.069486196054,739.127825372545,2013/14
2014,Lanarkshire,65-74,Female,Cerebrovascular Disease,163,489.371922661223,496.136244352045,2013/14
2014,Lanarkshire,over 75,Male,Cerebrovascular Disease,309,1677.52442996743,1803.92696280331,2013/14
2014,Lanarkshire,over 75,Female,Cerebrovascular Disease,433,1482.36905169463,1505.28023781682,2013/14
2015,Scotland,0-44,Male,Cerebrovascular Disease,263,18.1114508442828,19.3899587177016,2014/15
2015,Scotland,0-44,Female,Cerebrovascular Disease,202,13.8902832655093,14.260483451703,2014/15
2015,Scotland,45-64,Male,Cerebrovascular Disease,1594,222.180406587356,225.38891109713,2014/15
2015,Scotland,45-64,Female,Cerebrovascular Disease,1186,157.015175927164,158.94337651594,2014/15
2015,Scotland,65-74,Male,Cerebrovascular Disease,1524,600.413670836206,617.312121896124,2014/15
2015,Scotland,65-74,Female,Cerebrovascular Disease,1201,426.814316226407,434.338392062123,2014/15
2015,Scotland,over 75,Male,Cerebrovascular Disease,2736,1580.13283280393,1686.03132625492,2014/15
2015,Scotland,over 75,Female,Cerebrovascular Disease,4234,1627.91055335117,1587.60128003805,2014/15
2015,Ayrshire and Arran,0-44,Male,Cerebrovascular Disease,17,18.6207500876271,20.3582401937753,2014/15
2015,Ayrshire and Arran,0-44,Female,Cerebrovascular Disease,16,17.0817897445205,17.463017521901,2014/15
2015,Ayrshire and Arran,45-64,Male,Cerebrovascular Disease,122,235.830820381969,235.241445966871,2014/15
2015,Ayrshire and Arran,45-64,Female,Cerebrovascular Disease,108,191.61506662172,192.145901989723,2014/15
2015,Ayrshire and Arran,65-74,Male,Cerebrovascular Disease,136,654.286539016646,665.727300249626,2014/15
2015,Ayrshire and Arran,65-74,Female,Cerebrovascular Disease,108,464.136834414887,472.006405744928,2014/15
2015,Ayrshire and Arran,over 75,Male,Cerebrovascular Disease,244,1752.49587014293,1902.86554347722,2014/15
2015,Ayrshire and Arran,over 75,Female,Cerebrovascular Disease,330,1641.46438519698,1609.14447047982,2014/15
2015,Borders,0-44,Male,Cerebrovascular Disease,4,15.3427179624871,18.247713554913,2014/15
2015,Borders,0-44,Female,Cerebrovascular Disease,3,11.2397437338429,11.8480209997327,2014/15
2015,Borders,45-64,Male,Cerebrovascular Disease,38,220.878865380144,219.154538829866,2014/15
2015,Borders,45-64,Female,Cerebrovascular Disease,27,152.164111812444,152.755723035894,2014/15
2015,Borders,65-74,Male,Cerebrovascular Disease,35,489.100055897149,527.909492242117,2014/15
2015,Borders,65-74,Female,Cerebrovascular Disease,28,368.130423349987,376.855945829471,2014/15
2015,Borders,over 75,Male,Cerebrovascular Disease,83,1698.03600654664,1752.55612672303,2014/15
2015,Borders,over 75,Female,Cerebrovascular Disease,123,1841.31736526946,1787.53675468672,2014/15
2015,Dumfries and Galloway,0-44,Male,Cerebrovascular Disease,2,5.81006884931586,5.86161562874201,2014/15
2015,Dumfries and Galloway,0-44,Female,Cerebrovascular Disease,6,17.3460537727667,18.8041101436469,2014/15
2015,Dumfries and Galloway,45-64,Male,Cerebrovascular Disease,36,164.458656920968,161.360325395589,2014/15
2015,Dumfries and Galloway,45-64,Female,Cerebrovascular Disease,32,137.504297009282,135.742326347521,2014/15
2015,Dumfries and Galloway,65-74,Male,Cerebrovascular Disease,65,673.994193280796,701.443509119169,2014/15
2015,Dumfries and Galloway,65-74,Female,Cerebrovascular Disease,39,380.785002929115,388.999546015137,2014/15
2015,Dumfries and Galloway,over 75,Male,Cerebrovascular Disease,109,1587.07047175306,1765.41114579309,2014/15
2015,Dumfries and Galloway,over 75,Female,Cerebrovascular Disease,154,1705.23751522534,1668.3583871954,2014/15
2015,Forth Valley,0-44,Male,Cerebrovascular Disease,15,18.6346978073172,19.473289060637,2014/15
2015,Forth Valley,0-44,Female,Cerebrovascular Disease,22,27.1079512549749,26.7695350551378,2014/15
2015,Forth Valley,45-64,Male,Cerebrovascular Disease,97,234.050767300454,239.883938571437,2014/15
