year,hbr,age,sex,diagnosis,number_of_deaths,crude_rate,easr
2009,S08000015,0-44,Male,Stroke,3,3.09119,3.030315
2009,S08000015,0-44,Male,Subarachnoid Haemorrhage,1,1.030397,1.121752
2009,S08000015,0-44,Female,Cerebrovascular Disease,0,0,0
2009,S08000015,0-44,Female,Stroke,0,0,0
2009,S08000015,0-44,Female,Subarachnoid Haemorrhage,0,0,0
2009,S08000015,45-64,All,Cerebrovascular Disease,32,30.16506,29.9025
2009,S08000015,45-64,All,Stroke,17,16.02519,16.11279
2009,S08000015,45-64,All,Subarachnoid Haemorrhage,9,8.483923,8.256542
2009,S08000015,45-64,Male,Cerebrovascular Disease,18,35.16655,34.51361
2009,S08000015,45-64,Male,Stroke,12,23.44437,23.17358
2009,S08000015,45-64,Male,Subarachnoid Haemorrhage,2,3.907395,3.732199
2009,S08000015,45-64,Female,Cerebrovascular Disease,14,25.50184,25.29139
2009,S08000015,45-64,Female,Stroke,5,9.1078,9.052002
2009,S08000015,45-64,Female,Subarachnoid Haemorrhage,7,12.75092,12.78088
2009,S08000015,65-74,All,Cerebrovascular Disease,54,140.3618,142.6654
2009,S08000015,65-74,All,Stroke,35,90.97525,92.04234
2009,S08000015,65-74,All,Subarachnoid Haemorrhage,5,12.99646,13.38905
2009,S08000015,65-74,Male,Cerebrovascular Disease,26,144.0922,146.3058
2009,S08000015,65-74,Male,Stroke,17,94.21414,95.41981
2009,S08000015,65-74,Male,Subarachnoid Haemorrhage,3,16.62603,16.96199
2009,S08000015,65-74,Female,Cerebrovascular Disease,28,137.0668,139.0251
2009,S08000015,65-74,Female,Stroke,18,88.11435,88.66486
2009,S08000015,65-74,Female,Subarachnoid Haemorrhage,2,9.790484,9.816105
2009,S08000015,under 75,All,Cerebrovascular Disease,91,26.648,26.73403
2009,S08000015,under 75,All,Stroke,55,16.10594,16.21156
2009,S08000015,under 75,All,Subarachnoid Haemorrhage,15,4.392528,4.282095
2009,S08000015,under 75,Male,Cerebrovascular Disease,49,29.46854,30.06162
2009,S08000015,under 75,Male,Stroke,32,19.24476,19.55654
2009,S08000015,under 75,Male,Subarachnoid Haemorrhage,6,3.608393,3.709656
2009,S08000015,under 75,Female,Cerebrovascular Disease,42,23.97123,23.40643
2009,S08000015,under 75,Female,Stroke,23,13.1271,12.86658
2009,S08000015,under 75,Female,Subarachnoid Haemorrhage,9,5.136693,4.854533
2009,S08000015,over 75,All,Cerebrovascular Disease,295,953.4275,1026.929
2009,S08000015,over 75,All,Stroke,151,488.0256,525.7777
2009,S08000015,over 75,All,Subarachnoid Haemorrhage,3,9.695873,8.05705
2009,S08000015,over 75,Male,Cerebrovascular Disease,93,783.9501,969.878
2009,S08000015,over 75,Male,Stroke,49,413.049,508.6578
2009,S08000015,over 75,Male,Subarachnoid Haemorrhage,0,0,0
2009,S08000015,over 75,Female,Cerebrovascular Disease,202,1058.811,1083.981
2009,S08000015,over 75,Female,Stroke,102,534.6472,542.8976
2009,S08000015,over 75,Female,Subarachnoid Haemorrhage,3,15.72492,16.1141
2009,S08000016,All,All,Cerebrovascular Disease,96,84.51448,87.29077
2009,S08000016,All,All,Stroke,55,48.41976,50.61941
2009,S08000016,All,All,Subarachnoid Haemorrhage,7,6.162514,5.290024
2009,S08000016,All,Male,Cerebrovascular Disease,32,58.27612,82.74581
2009,S08000016,All,Male,Stroke,20,36.42257,50.96398
2009,S08000016,All,Male,Subarachnoid Haemorrhage,2,3.642257,3.636342
2009,S08000016,All,Female,Cerebrovascular Disease,64,109.068,91.83572
2009,S08000016,All,Female,Stroke,35,59.64655,50.27483
2009,S08000016,All,Female,Subarachnoid Haemorrhage,5,8.520936,6.943706
2009,S08000016,0-44,All,Cerebrovascular Disease,0,0,0
2009,S08000016,0-44,All,Stroke,0,0,0
2009,S08000016,0-44,All,Subarachnoid Haemorrhage,0,0,0
2009,S08000016,0-44,Male,Cerebrovascular Disease,0,0,0
2009,S08000016,0-44,Male,Stroke,0,0,0
2009,S08000016,0-44,Male,Subarachnoid Haemorrhage,0,0,0
2009,S08000016,0-44,Female,Cerebrovascular Disease,0,0,0
2009,S08000016,0-44,Female,Stroke,0,0,0
2009,S08000016,0-44,Female,Subarachnoid Haemorrhage,0,0,0
2009,S08000016,45-64,All,Cerebrovascular Disease,10,29.57442,30.18122
2009,S08000016,45-64,All,Stroke,5,14.78721,14.97213
2009,S08000016,45-64,All,Subarachnoid Haemorrhage,2,5.914885,6.25708
2009,S08000016,45-64,Male,Cerebrovascular Disease,5,29.9958,31.67158
2009,S08000016,45-64,Male,Stroke,2,11.99832,12.6871
2009,S08000016,45-64,Male,Subarachnoid Haemorrhage,1,5.99916,6.297382
2009,S08000016,45-64,Female,Cerebrovascular Disease,5,29.16472,28.69087
2009,S08000016,45-64,Female,Stroke,3,17.49883,17.25715
2009,S08000016,45-64,Female,Subarachnoid Haemorrhage,1,5.832944,6.216779
2009,S08000016,65-74,All,Cerebrovascular Disease,7,56.04484,54.27706
2009,S08000016,65-74,All,Stroke,4,32.02562,31.18152
2009,S08000016,65-74,All,Subarachnoid Haemorrhage,1,8.006405,7.824359
2009,S08000016,65-74,Male,Cerebrovascular Disease,1,16.86341,16.17195
2009,S08000016,65-74,Male,Stroke,1,16.86341,16.17195
2009,S08000016,65-74,Male,Subarachnoid Haemorrhage,0,0,0
2009,S08000016,65-74,Female,Cerebrovascular Disease,6,91.46341,92.38216
2009,S08000016,65-74,Female,Stroke,3,45.73171,46.19108
2009,S08000016,65-74,Female,Subarachnoid Haemorrhage,1,15.2439,15.64872
2009,S08000016,under 75,All,Cerebrovascular Disease,17,16.49845,15.05178
2009,S08000016,under 75,All,Stroke,9,8.734472,7.957882
2009,S08000016,under 75,All,Subarachnoid Haemorrhage,3,2.911491,2.724927
2009,S08000016,under 75,Male,Cerebrovascular Disease,6,11.84787,11.08904
2009,S08000016,under 75,Male,Stroke,3,5.923937,5.560589
2009,S08000016,under 75,Male,Subarachnoid Haemorrhage,1,1.974646,1.833853
2009,S08000016,under 75,Female,Cerebrovascular Disease,11,20.99317,19.01451
2009,S08000016,under 75,Female,Stroke,6,11.45082,10.35517
2009,S08000016,under 75,Female,Subarachnoid Haemorrhage,2,3.8169400000000002,3.616002
2009,S08000016,over 75,All,Cerebrovascular Disease,79,748.8152,817.7072
2009,S08000016,over 75,All,Stroke,46,436.019,481.9748
2009,S08000016,over 75,All,Subarachnoid Haemorrhage,4,37.91469,31.226
2009,S08000016,over 75,Male,Cerebrovascular Disease,26,609.0419,807.2754
2009,S08000016,over 75,Male,Stroke,17,398.2197,510.0427
2009,S08000016,over 75,Male,Subarachnoid Haemorrhage,1,23.42469,21.86151
2009,S08000016,over 75,Female,Cerebrovascular Disease,53,843.8147,828.139
2009,S08000016,over 75,Female,Stroke,29,461.7099,453.9069
2009,S08000016,over 75,Female,Subarachnoid Haemorrhage,3,47.7631,40.5905
2009,S08000017,All,All,Cerebrovascular Disease,153,101.2173,95.15838
2009,S08000017,All,All,Stroke,97,64.17042,58.75651
2009,S08000017,All,All,Subarachnoid Haemorrhage,8,5.292405,4.538127
2009,S08000017,All,Male,Cerebrovascular Disease,55,75.15817,85.23665
2009,S08000017,All,Male,Stroke,31,42.36188,47.40644
2009,S08000017,All,Male,Subarachnoid Haemorrhage,1,1.366512,1.325507
2009,S08000017,All,Female,Cerebrovascular Disease,98,125.6716,105.0801
2009,S08000017,All,Female,Stroke,66,84.636,70.10657
2009,S08000017,All,Female,Subarachnoid Haemorrhage,7,8.976546,7.750747
2009,S08000017,0-44,All,Cerebrovascular Disease,2,2.706323,2.27049
2009,S08000017,0-44,All,Stroke,1,1.353162,1.160837
2009,S08000017,0-44,All,Subarachnoid Haemorrhage,1,1.353162,1.109653
2009,S08000017,0-44,Male,Cerebrovascular Disease,1,2.723608,2.321674
2009,S08000017,0-44,Male,Stroke,1,2.723608,2.321674
2009,S08000017,0-44,Male,Subarachnoid Haemorrhage,0,0,0
2009,S08000017,0-44,Female,Cerebrovascular Disease,1,2.689256,2.219305
2009,S08000017,0-44,Female,Stroke,0,0,0
2009,S08000017,0-44,Female,Subarachnoid Haemorrhage,1,2.689256,2.219305
2009,S08000017,45-64,All,Cerebrovascular Disease,11,24.45749,24.78216
2009,S08000017,45-64,All,Stroke,7,15.56386,15.64718
2009,S08000017,45-64,All,Subarachnoid Haemorrhage,4,8.893632,9.134975
2009,S08000017,45-64,Male,Cerebrovascular Disease,6,27.30624,28.50095
2009,S08000017,45-64,Male,Stroke,5,22.7552,23.49904
2009,S08000017,45-64,Male,Subarachnoid Haemorrhage,1,4.55104,5.001911
2009,S08000017,45-64,Female,Cerebrovascular Disease,5,21.7363,21.06336
2009,S08000017,45-64,Female,Stroke,2,8.694518,7.795321
2009,S08000017,45-64,Female,Subarachnoid Haemorrhage,3,13.04178,13.26804
2009,S08000017,65-74,All,Cerebrovascular Disease,19,107.5512,107.8321
2009,S08000017,65-74,All,Stroke,15,84.90886,84.09532
2009,S08000017,65-74,All,Subarachnoid Haemorrhage,1,5.660591,5.730331
2009,S08000017,65-74,Male,Cerebrovascular Disease,7,82.15962,82.96416
2009,S08000017,65-74,Male,Stroke,5,58.68545,58.41193
2009,S08000017,65-74,Male,Subarachnoid Haemorrhage,0,0,0
2009,S08000017,65-74,Female,Cerebrovascular Disease,12,131.2049,132.7
2009,S08000017,65-74,Female,Stroke,10,109.3374,109.7787
2009,S08000017,65-74,Female,Subarachnoid Haemorrhage,1,10.93374,11.46066
2009,S08000017,under 75,All,Cerebrovascular Disease,32,23.43584,21.00627
2009,S08000017,under 75,All,Stroke,23,16.84451,14.94875
2009,S08000017,under 75,All,Subarachnoid Haemorrhage,6,4.39422,3.979852
2009,S08000017,under 75,Male,Cerebrovascular Disease,14,20.83054,19.25021
2009,S08000017,under 75,Male,Stroke,11,16.36686,14.96066
2009,S08000017,under 75,Male,Subarachnoid Haemorrhage,1,1.487896,1.456601
2009,S08000017,under 75,Female,Cerebrovascular Disease,18,25.96129,22.76233
2009,S08000017,under 75,Female,Stroke,12,17.30753,14.93684
2009,S08000017,under 75,Female,Subarachnoid Haemorrhage,5,7.211469,6.503104
2009,S08000017,over 75,All,Cerebrovascular Disease,121,827.8032,844.9186
2009,S08000017,over 75,All,Stroke,74,506.2598,501.7016
2009,S08000017,over 75,All,Subarachnoid Haemorrhage,2,13.6827,10.1829
2009,S08000017,over 75,Male,Cerebrovascular Disease,41,686.7672,752.4328
2009,S08000017,over 75,Male,Stroke,20,335.0084,375.4693
2009,S08000017,over 75,Male,Subarachnoid Haemorrhage,0,0,0
2009,S08000017,over 75,Female,Cerebrovascular Disease,80,925.1764,937.4044
2009,S08000017,over 75,Female,Stroke,54,624.494,627.9339
2009,S08000017,over 75,Female,Subarachnoid Haemorrhage,2,23.12941,20.36581
2009,S08000029,All,All,Cerebrovascular Disease,321,88.81634,108.0523
2009,S08000029,All,All,Stroke,179,49.52687,56.36584
2009,S08000029,All,All,Subarachnoid Haemorrhage,10,2.766864,2.69792
2009,S08000029,All,Male,Cerebrovascular Disease,119,68.15032,108.3488
2009,S08000029,All,Male,Stroke,59,33.78881,49.10674
2009,S08000029,All,Male,Subarachnoid Haemorrhage,2,1.145384,1.337626
2009,S08000029,All,Female,Cerebrovascular Disease,202,108.1336,107.7557
2009,S08000029,All,Female,Stroke,120,64.23777,63.62494
2009,S08000029,All,Female,Subarachnoid Haemorrhage,8,4.282518,4.058213
2009,S08000029,0-44,All,Cerebrovascular Disease,2,1.002597,0.970366
2009,S08000029,0-44,All,Stroke,0,0,0
2009,S08000029,0-44,All,Subarachnoid Haemorrhage,2,1.002597,0.970366
2009,S08000029,0-44,Male,Cerebrovascular Disease,0,0,0
2009,S08000029,0-44,Male,Stroke,0,0,0
2009,S08000029,0-44,Male,Subarachnoid Haemorrhage,0,0,0
2009,S08000029,0-44,Female,Cerebrovascular Disease,2,1.988823,1.940733
2009,S08000029,0-44,Female,Stroke,0,0,0
2009,S08000029,0-44,Female,Subarachnoid Haemorrhage,2,1.988823,1.940733
2009,S08000029,45-64,All,Cerebrovascular Disease,13,13.03141,13.25188
2009,S08000029,45-64,All,Stroke,8,8.019327,8.132701
2009,S08000029,45-64,All,Subarachnoid Haemorrhage,3,3.007247,2.934423
2009,S08000029,45-64,Male,Cerebrovascular Disease,5,10.25031,10.60257
2009,S08000029,45-64,Male,Stroke,2,4.100125,4.073722
2009,S08000029,45-64,Male,Subarachnoid Haemorrhage,1,2.050063,2.159331
2009,S08000029,45-64,Female,Cerebrovascular Disease,8,15.69243,15.90119
2009,S08000029,45-64,Female,Stroke,6,11.76932,12.19168
2009,S08000029,45-64,Female,Subarachnoid Haemorrhage,2,3.923107,3.709516
2009,S08000029,65-74,All,Cerebrovascular Disease,39,114.3025,114.9418
2009,S08000029,65-74,All,Stroke,29,84.99414,84.57136
2009,S08000029,65-74,All,Subarachnoid Haemorrhage,2,5.861665,5.524494
2009,S08000029,65-74,Male,Cerebrovascular Disease,16,100.0688,101.9222
2009,S08000029,65-74,Male,Stroke,10,62.543,63.53588
2009,S08000029,65-74,Male,Subarachnoid Haemorrhage,0,0,0
2009,S08000029,65-74,Female,Cerebrovascular Disease,23,126.8546,127.9614
2009,S08000029,65-74,Female,Stroke,19,104.7929,105.6068
2009,S08000029,65-74,Female,Subarachnoid Haemorrhage,2,11.03083,11.04899
2009,S08000029,under 75,All,Cerebrovascular Disease,54,16.19866,17.6974
2009,S08000029,under 75,All,Stroke,37,11.09908,12.12655
2009,S08000029,under 75,All,Subarachnoid Haemorrhage,7,2.099826,2.067793
2009,S08000029,under 75,Male,Cerebrovascular Disease,21,12.82928,14.84781
2009,S08000029,under 75,Male,Stroke,12,7.33102,8.517367
2009,S08000029,under 75,Male,Subarachnoid Haemorrhage,1,0.610918,0.628816
2009,S08000029,under 75,Female,Cerebrovascular Disease,33,19.44918,20.54699
2009,S08000029,under 75,Female,Stroke,25,14.73422,15.73573
2009,S08000029,under 75,Female,Subarachnoid Haemorrhage,6,3.536214,3.50677
2009,S08000029,over 75,All,Cerebrovascular Disease,267,951.5663,1021.64
2009,S08000029,over 75,All,Stroke,142,506.0765,503.6743
2009,S08000029,over 75,All,Subarachnoid Haemorrhage,3,10.69176,9.069199
2009,S08000029,over 75,Male,Cerebrovascular Disease,98,896.9431,1053.748
2009,S08000029,over 75,Male,Stroke,47,430.1666,459.5104
2009,S08000029,over 75,Male,Subarachnoid Haemorrhage,1,9.15248,8.504486
2009,S08000029,over 75,Female,Cerebrovascular Disease,169,986.4005,989.5325
2009,S08000029,over 75,Female,Stroke,95,554.4855,547.8381
2009,S08000029,over 75,Female,Subarachnoid Haemorrhage,2,11.67338,9.633911
2009,S08000019,All,All,Cerebrovascular Disease,283,96.19634,121.395
2009,S08000019,All,All,Stroke,149,50.64754,60.62975
2009,S08000019,All,All,Subarachnoid Haemorrhage,9,3.059247,2.998137
2009,S08000019,All,Male,Cerebrovascular Disease,87,61.02266,101.5893
2009,S08000019,All,Male,Stroke,44,30.86203,46.58074
2009,S08000019,All,Male,Subarachnoid Haemorrhage,2,1.40282,1.410732
2009,S08000019,All,Female,Cerebrovascular Disease,196,129.2705,141.2007
2009,S08000019,All,Female,Stroke,105,69.25208,74.67877
2009,S08000019,All,Female,Subarachnoid Haemorrhage,7,4.616805,4.585542
2009,S08000019,0-44,All,Cerebrovascular Disease,5,2.997189,2.837709
2009,S08000019,0-44,All,Stroke,1,0.599438,0.528324
2009,S08000019,0-44,All,Subarachnoid Haemorrhage,3,1.798313,1.756781
2009,S08000019,0-44,Male,Cerebrovascular Disease,2,2.412603,2.382597
2009,S08000019,0-44,Male,Stroke,0,0,0
2009,S08000019,0-44,Male,Subarachnoid Haemorrhage,1,1.206302,1.277391
2009,S08000019,0-44,Female,Cerebrovascular Disease,3,3.57462,3.29282
2009,S08000019,0-44,Female,Stroke,1,1.19154,1.056648
2009,S08000019,0-44,Female,Subarachnoid Haemorrhage,2,2.38308,2.236172
2009,S08000019,45-64,All,Cerebrovascular Disease,15,18.81444,18.77799
2009,S08000019,45-64,All,Stroke,8,10.03437,10.0256
2009,S08000019,45-64,All,Subarachnoid Haemorrhage,3,3.762888,3.806941
2009,S08000019,45-64,Male,Cerebrovascular Disease,6,15.33194,15.25131
2009,S08000019,45-64,Male,Stroke,4,10.22129,10.03694
2009,S08000019,45-64,Male,Subarachnoid Haemorrhage,1,2.555323,2.72053
2009,S08000019,45-64,Female,Cerebrovascular Disease,9,22.17186,22.30467
2009,S08000019,45-64,Female,Stroke,4,9.854158,10.01425
2009,S08000019,45-64,Female,Subarachnoid Haemorrhage,2,4.927079,4.893352
2009,S08000019,65-74,All,Cerebrovascular Disease,31,115.3445,114.4675
2009,S08000019,65-74,All,Stroke,19,70.69504,70.02631
2009,S08000019,65-74,All,Subarachnoid Haemorrhage,2,7.441584,7.066189
2009,S08000019,65-74,Male,Cerebrovascular Disease,11,88.11984,89.39194
2009,S08000019,65-74,Male,Stroke,7,56.07626,56.59385
2009,S08000019,65-74,Male,Subarachnoid Haemorrhage,0,0,0
2009,S08000019,65-74,Female,Cerebrovascular Disease,20,138.9564,139.5431
2009,S08000019,65-74,Female,Stroke,12,83.37386,83.45876
2009,S08000019,65-74,Female,Subarachnoid Haemorrhage,2,13.89564,14.13238
2009,S08000019,under 75,All,Cerebrovascular Disease,51,18.65228,20.36002
2009,S08000019,under 75,All,Stroke,28,10.24047,11.31301
2009,S08000019,under 75,All,Subarachnoid Haemorrhage,8,2.925848,2.96643
2009,S08000019,under 75,Male,Cerebrovascular Disease,19,14.12482,16.16962
2009,S08000019,under 75,Male,Stroke,11,8.177527,9.452906
2009,S08000019,under 75,Male,Subarachnoid Haemorrhage,2,1.486823,1.550255
2009,S08000019,under 75,Female,Cerebrovascular Disease,32,23.0365,24.55043
2009,S08000019,under 75,Female,Stroke,17,12.23814,13.17312
2009,S08000019,under 75,Female,Subarachnoid Haemorrhage,6,4.319343,4.382605
2009,S08000019,over 75,All,Cerebrovascular Disease,232,1117.265,1142.971
2009,S08000019,over 75,All,Stroke,121,582.7113,559.2768
2009,S08000019,over 75,All,Subarachnoid Haemorrhage,1,4.815796,3.318731
2009,S08000019,over 75,Male,Cerebrovascular Disease,68,844.1962,965.2771
2009,S08000019,over 75,Male,Stroke,33,409.6834,421.9844
2009,S08000019,over 75,Male,Subarachnoid Haemorrhage,0,0,0
2009,S08000019,over 75,Female,Cerebrovascular Disease,164,1290.323,1320.665
2009,S08000019,over 75,Female,Stroke,88,692.3682,696.5693
2009,S08000019,over 75,Female,Subarachnoid Haemorrhage,1,7.867821,6.637462
2009,S08000020,All,All,Cerebrovascular Disease,491,87.80401,112.418
2009,S08000020,All,All,Stroke,263,47.03147,57.24349
2009,S08000020,All,All,Subarachnoid Haemorrhage,16,2.86123,3.085615
2009,S08000020,All,Male,Cerebrovascular Disease,179,64.6674,107.8048
2009,S08000020,All,Male,Stroke,91,32.8756,50.2481
2009,S08000020,All,Male,Subarachnoid Haemorrhage,5,1.806352,2.012099
2009,S08000020,All,Female,Cerebrovascular Disease,312,110.482,117.0312
2009,S08000020,All,Female,Stroke,172,60.90673,64.23888
2009,S08000020,All,Female,Subarachnoid Haemorrhage,11,3.895198,4.15913
2009,S08000020,0-44,All,Cerebrovascular Disease,2,0.625229,0.604414
2009,S08000020,0-44,All,Stroke,1,0.312614,0.304109
2009,S08000020,0-44,All,Subarachnoid Haemorrhage,1,0.312614,0.300305
2009,S08000020,0-44,Male,Cerebrovascular Disease,1,0.615127,0.608219
2009,S08000020,0-44,Male,Stroke,1,0.615127,0.608219
2009,S08000020,0-44,Male,Subarachnoid Haemorrhage,0,0,0
2009,S08000020,0-44,Female,Cerebrovascular Disease,1,0.635667,0.60061
2009,S08000020,0-44,Female,Stroke,0,0,0
2009,S08000020,0-44,Female,Subarachnoid Haemorrhage,1,0.635667,0.60061
2009,S08000020,45-64,All,Cerebrovascular Disease,34,22.45336,22.7007
2009,S08000020,45-64,All,Stroke,18,11.88707,12.10158
2009,S08000020,45-64,All,Subarachnoid Haemorrhage,6,3.962358,3.986428
2009,S08000020,45-64,Male,Cerebrovascular Disease,19,25.03492,25.34235
2009,S08000020,45-64,Male,Stroke,10,13.17627,13.48918
2009,S08000020,45-64,Male,Subarachnoid Haemorrhage,3,3.952882,3.935933
2009,S08000020,45-64,Female,Cerebrovascular Disease,15,19.8594,20.05905
2009,S08000020,45-64,Female,Stroke,8,10.59168,10.71398
2009,S08000020,45-64,Female,Subarachnoid Haemorrhage,3,3.971879,4.036923
2009,S08000020,65-74,All,Cerebrovascular Disease,60,126.74,130.2878
2009,S08000020,65-74,All,Stroke,35,73.93169,75.22917
2009,S08000020,65-74,All,Subarachnoid Haemorrhage,4,8.449336,8.139469
2009,S08000020,65-74,Male,Cerebrovascular Disease,33,146.5559,150.849
2009,S08000020,65-74,Male,Stroke,18,79.9396,81.43008
2009,S08000020,65-74,Male,Subarachnoid Haemorrhage,1,4.441089,4.263814
2009,S08000020,65-74,Female,Cerebrovascular Disease,27,108.7657,109.7267
2009,S08000020,65-74,Female,Stroke,17,68.48211,69.02826
2009,S08000020,65-74,Female,Subarachnoid Haemorrhage,3,12.08508,12.01512
2009,S08000020,under 75,All,Cerebrovascular Disease,96,18.50963,22.00252
2009,S08000020,under 75,All,Stroke,54,10.41167,12.38484
2009,S08000020,under 75,All,Subarachnoid Haemorrhage,11,2.120895,2.278255
2009,S08000020,under 75,Male,Cerebrovascular Disease,53,20.30815,25.14649
2009,S08000020,under 75,Male,Stroke,29,11.11201,13.68487
2009,S08000020,under 75,Male,Subarachnoid Haemorrhage,4,1.53269,1.638157
2009,S08000020,under 75,Female,Cerebrovascular Disease,43,16.68801,18.85855
2009,S08000020,under 75,Female,Stroke,25,9.702332,11.0848
2009,S08000020,under 75,Female,Subarachnoid Haemorrhage,7,2.716653,2.918354
2009,S08000020,over 75,All,Cerebrovascular Disease,395,974.082,1026.619
2009,S08000020,over 75,All,Stroke,209,515.4004,510.8143
2009,S08000020,over 75,All,Subarachnoid Haemorrhage,5,12.33015,11.24891
2009,S08000020,over 75,Male,Cerebrovascular Disease,126,796.3595,943.5721
2009,S08000020,over 75,Male,Stroke,62,391.8594,419.943
2009,S08000020,over 75,Male,Subarachnoid Haemorrhage,1,6.320313,5.793071
2009,S08000020,over 75,Female,Cerebrovascular Disease,269,1087.792,1109.665
2009,S08000020,over 75,Female,Stroke,147,594.4438,601.6856
2009,S08000020,over 75,Female,Subarachnoid Haemorrhage,4,16.17534,16.70476
2009,S08000022,All,All,Cerebrovascular Disease,339,106.5368,115.434
2009,S08000022,All,All,Stroke,187,58.76807,61.68063
2009,S08000022,All,All,Subarachnoid Haemorrhage,11,3.456945,3.174939
