year,ca,age,sex,diagnosis,number_of_deaths,crude_rate,easr,ca_name,hb,hb_name
2009,S12000005,65-74,All,Subarachnoid Haemorrhage,0,0,0,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,65-74,Male,Cerebrovascular Disease,0,0,0,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,65-74,Male,Stroke,0,0,0,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,65-74,Male,Subarachnoid Haemorrhage,0,0,0,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,65-74,Female,Cerebrovascular Disease,0,0,84.58,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,65-74,Female,Stroke,0,0,84.58,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,65-74,Female,Subarachnoid Haemorrhage,0,0,0,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,under 75,All,Cerebrovascular Disease,0,0,18.84,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,under 75,All,Stroke,0,0,8.92,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,under 75,All,Subarachnoid Haemorrhage,0,0,6.04,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,under 75,Male,Cerebrovascular Disease,0,0,11.94,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,under 75,Male,Stroke,0,0,3.93,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,under 75,Male,Subarachnoid Haemorrhage,0,0,4.39,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,under 75,Female,Cerebrovascular Disease,0,0,25.74,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,under 75,Female,Stroke,0,0,13.9,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,under 75,Female,Subarachnoid Haemorrhage,0,0,7.69,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,over 75,All,Cerebrovascular Disease,0,0,1001.19,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,over 75,All,Stroke,0,0,571.69,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,over 75,All,Subarachnoid Haemorrhage,0,0,0,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,over 75,Male,Cerebrovascular Disease,0,0,694.33,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,over 75,Male,Stroke,0,0,469.69,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,over 75,Male,Subarachnoid Haemorrhage,0,0,0,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,over 75,Female,Cerebrovascular Disease,0,0,1308.05,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,over 75,Female,Stroke,0,0,673.7,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,over 75,Female,Subarachnoid Haemorrhage,0,0,0,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000006,All,All,Cerebrovascular Disease,153,101.22,95.16,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,All,All,Stroke,97,64.17,58.76,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,All,All,Subarachnoid Haemorrhage,8,5.29,4.54,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,All,Male,Cerebrovascular Disease,55,75.16,85.24,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,All,Male,Stroke,31,42.36,47.41,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,All,Male,Subarachnoid Haemorrhage,1,1.37,1.33,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,All,Female,Cerebrovascular Disease,98,125.67,105.08,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,All,Female,Stroke,66,84.64,70.11,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,All,Female,Subarachnoid Haemorrhage,7,8.98,7.75,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,0-44,All,Cerebrovascular Disease,0,0,2.27,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,0-44,All,Stroke,0,0,1.16,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,0-44,All,Subarachnoid Haemorrhage,0,0,1.11,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,0-44,Male,Cerebrovascular Disease,0,0,2.32,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,0-44,Male,Stroke,0,0,2.32,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,0-44,Male,Subarachnoid Haemorrhage,0,0,0,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,0-44,Female,Cerebrovascular Disease,0,0,2.22,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,0-44,Female,Stroke,0,0,0,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,0-44,Female,Subarachnoid Haemorrhage,0,0,2.22,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,45-64,All,Cerebrovascular Disease,0,0,24.78,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,45-64,All,Stroke,0,0,15.65,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,45-64,All,Subarachnoid Haemorrhage,0,0,9.13,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,45-64,Male,Cerebrovascular Disease,0,0,28.5,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,45-64,Male,Stroke,0,0,23.5,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,45-64,Male,Subarachnoid Haemorrhage,0,0,5,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,45-64,Female,Cerebrovascular Disease,0,0,21.06,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,45-64,Female,Stroke,0,0,7.8,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,45-64,Female,Subarachnoid Haemorrhage,0,0,13.27,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,65-74,All,Cerebrovascular Disease,0,0,107.83,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,65-74,All,Stroke,0,0,84.1,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,65-74,All,Subarachnoid Haemorrhage,0,0,5.73,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,65-74,Male,Cerebrovascular Disease,0,0,82.96,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,65-74,Male,Stroke,0,0,58.41,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,65-74,Male,Subarachnoid Haemorrhage,0,0,0,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,65-74,Female,Cerebrovascular Disease,0,0,132.7,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,65-74,Female,Stroke,0,0,109.78,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,65-74,Female,Subarachnoid Haemorrhage,0,0,11.46,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,under 75,All,Cerebrovascular Disease,0,0,21.01,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,under 75,All,Stroke,0,0,14.95,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,under 75,All,Subarachnoid Haemorrhage,0,0,3.98,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,under 75,Male,Cerebrovascular Disease,0,0,19.25,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,under 75,Male,Stroke,0,0,14.96,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,under 75,Male,Subarachnoid Haemorrhage,0,0,1.46,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,under 75,Female,Cerebrovascular Disease,0,0,22.76,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,under 75,Female,Stroke,0,0,14.94,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,under 75,Female,Subarachnoid Haemorrhage,0,0,6.5,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,over 75,All,Cerebrovascular Disease,0,0,844.92,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,over 75,All,Stroke,0,0,501.7,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,over 75,All,Subarachnoid Haemorrhage,0,0,10.18,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,over 75,Male,Cerebrovascular Disease,0,0,752.43,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,over 75,Male,Stroke,0,0,375.47,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,over 75,Male,Subarachnoid Haemorrhage,0,0,0,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,over 75,Female,Cerebrovascular Disease,0,0,937.4,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,over 75,Female,Stroke,0,0,627.93,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000006,over 75,Female,Subarachnoid Haemorrhage,0,0,20.37,Dumfries and Galloway,S08000017,NHS Dumfries and Galloway
2009,S12000008,All,All,Cerebrovascular Disease,108,88.44,115.69,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,All,All,Stroke,58,47.5,62.87,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,All,All,Subarachnoid Haemorrhage,6,4.91,5.14,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,All,Male,Cerebrovascular Disease,39,66.02,117.7,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,All,Male,Stroke,23,38.93,67.09,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,All,Male,Subarachnoid Haemorrhage,3,5.08,5.39,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,All,Female,Cerebrovascular Disease,69,109.47,113.68,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,All,Female,Stroke,35,55.53,58.66,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,All,Female,Subarachnoid Haemorrhage,3,4.76,4.88,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,0-44,All,Cerebrovascular Disease,0,0,1.59,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,0-44,All,Stroke,0,0,1.59,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,0-44,All,Subarachnoid Haemorrhage,0,0,0,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,0-44,Male,Cerebrovascular Disease,0,0,3.18,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,0-44,Male,Stroke,0,0,3.18,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,0-44,Male,Subarachnoid Haemorrhage,0,0,0,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,0-44,Female,Cerebrovascular Disease,0,0,0,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,0-44,Female,Stroke,0,0,0,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,0-44,Female,Subarachnoid Haemorrhage,0,0,0,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,45-64,All,Cerebrovascular Disease,0,0,20.85,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,45-64,All,Stroke,0,0,17.92,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,45-64,All,Subarachnoid Haemorrhage,0,0,2.93,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,45-64,Male,Cerebrovascular Disease,0,0,36.26,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,45-64,Male,Stroke,0,0,30.4,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,45-64,Male,Subarachnoid Haemorrhage,0,0,5.86,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,45-64,Female,Cerebrovascular Disease,0,0,5.43,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,45-64,Female,Stroke,0,0,5.43,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,45-64,Female,Subarachnoid Haemorrhage,0,0,0,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,65-74,All,Cerebrovascular Disease,0,0,145,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,65-74,All,Stroke,0,0,83.49,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,65-74,All,Subarachnoid Haemorrhage,0,0,18.27,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,65-74,Male,Cerebrovascular Disease,0,0,92.16,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,65-74,Male,Stroke,0,0,36.54,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,65-74,Male,Subarachnoid Haemorrhage,0,0,36.54,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,65-74,Female,Cerebrovascular Disease,0,0,197.84,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,65-74,Female,Stroke,0,0,130.43,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,65-74,Female,Subarachnoid Haemorrhage,0,0,0,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,under 75,All,Cerebrovascular Disease,0,0,23.74,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,under 75,All,Stroke,0,0,15.79,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,under 75,All,Subarachnoid Haemorrhage,0,0,2.96,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,under 75,Male,Cerebrovascular Disease,0,0,23.08,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,under 75,Male,Stroke,0,0,14.96,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,under 75,Male,Subarachnoid Haemorrhage,0,0,5.92,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,under 75,Female,Cerebrovascular Disease,0,0,24.41,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,under 75,Female,Stroke,0,0,16.63,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,under 75,Female,Subarachnoid Haemorrhage,0,0,0,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,over 75,All,Cerebrovascular Disease,0,0,1045.34,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,over 75,All,Stroke,0,0,538.9,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,over 75,All,Subarachnoid Haemorrhage,0,0,27.12,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,over 75,Male,Cerebrovascular Disease,0,0,1074.4,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,over 75,Male,Stroke,0,0,594.24,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,over 75,Male,Subarachnoid Haemorrhage,0,0,0,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,over 75,Female,Cerebrovascular Disease,0,0,1016.27,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,over 75,Female,Stroke,0,0,483.56,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000008,over 75,Female,Subarachnoid Haemorrhage,0,0,54.23,East Ayrshire,S08000015,NHS Ayrshire and Arran
2009,S12000010,All,All,Cerebrovascular Disease,104,105.76,127.58,East Lothian,S08000024,NHS Lothian
2009,S12000010,All,All,Stroke,56,56.95,67.15,East Lothian,S08000024,NHS Lothian
2009,S12000010,All,All,Subarachnoid Haemorrhage,5,5.08,4.99,East Lothian,S08000024,NHS Lothian
2009,S12000010,All,Male,Cerebrovascular Disease,40,84.88,130.54,East Lothian,S08000024,NHS Lothian
2009,S12000010,All,Male,Stroke,23,48.81,69.82,East Lothian,S08000024,NHS Lothian
2009,S12000010,All,Male,Subarachnoid Haemorrhage,2,4.24,4.21,East Lothian,S08000024,NHS Lothian
2009,S12000010,All,Female,Cerebrovascular Disease,64,124.96,124.62,East Lothian,S08000024,NHS Lothian
2009,S12000010,All,Female,Stroke,33,64.43,64.48,East Lothian,S08000024,NHS Lothian
2009,S12000010,All,Female,Subarachnoid Haemorrhage,3,5.86,5.77,East Lothian,S08000024,NHS Lothian
2009,S12000010,0-44,All,Cerebrovascular Disease,0,0,0,East Lothian,S08000024,NHS Lothian
2009,S12000010,0-44,All,Stroke,0,0,0,East Lothian,S08000024,NHS Lothian
2009,S12000010,0-44,All,Subarachnoid Haemorrhage,0,0,0,East Lothian,S08000024,NHS Lothian
2009,S12000010,0-44,Male,Cerebrovascular Disease,0,0,0,East Lothian,S08000024,NHS Lothian
2009,S12000010,0-44,Male,Stroke,0,0,0,East Lothian,S08000024,NHS Lothian
2009,S12000010,0-44,Male,Subarachnoid Haemorrhage,0,0,0,East Lothian,S08000024,NHS Lothian
2009,S12000010,0-44,Female,Cerebrovascular Disease,0,0,0,East Lothian,S08000024,NHS Lothian
2009,S12000010,0-44,Female,Stroke,0,0,0,East Lothian,S08000024,NHS Lothian
2009,S12000010,0-44,Female,Subarachnoid Haemorrhage,0,0,0,East Lothian,S08000024,NHS Lothian
2009,S12000010,45-64,All,Cerebrovascular Disease,0,0,22.45,East Lothian,S08000024,NHS Lothian
2009,S12000010,45-64,All,Stroke,0,0,10.93,East Lothian,S08000024,NHS Lothian
2009,S12000010,45-64,All,Subarachnoid Haemorrhage,0,0,11.53,East Lothian,S08000024,NHS Lothian
2009,S12000010,45-64,Male,Cerebrovascular Disease,0,0,22.67,East Lothian,S08000024,NHS Lothian
2009,S12000010,45-64,Male,Stroke,0,0,6.77,East Lothian,S08000024,NHS Lothian
2009,S12000010,45-64,Male,Subarachnoid Haemorrhage,0,0,15.9,East Lothian,S08000024,NHS Lothian
2009,S12000010,45-64,Female,Cerebrovascular Disease,0,0,22.23,East Lothian,S08000024,NHS Lothian
2009,S12000010,45-64,Female,Stroke,0,0,15.08,East Lothian,S08000024,NHS Lothian
2009,S12000010,45-64,Female,Subarachnoid Haemorrhage,0,0,7.15,East Lothian,S08000024,NHS Lothian
2009,S12000010,65-74,All,Cerebrovascular Disease,0,0,129.41,East Lothian,S08000024,NHS Lothian
